"","daily_id","daily_pdate","daily_title","daily_url","daily_img_url","daily_desc"
"1","1237085440","2016-02-14","2016-02-14 MC日报","/daily/show/1237085440?kf=daily_list","","①在健康和疾病中，如何个体化利用人体微生物组②炎症、抗生素、饮食是儿童克罗恩病中肠道微生物组的环境压"
"2","1237093640","2016-03-30","2016-03-30 MC日报","/daily/show/1237093640?kf=daily_list","","①SR：吃点益生元，阻止孕产妇和后代肥胖风险？②Nature综述：短链脂肪酸，怎样帮助控制体重？"
"3","1232899336","2016-03-29","2016-03-29 MC日报","/daily/show/1232899336?kf=daily_list","","①益生元鼻祖Gibson：面包添加益生元，应对肥胖？②赵立平+陈卫+张和平团队：东西南北中，国人菌不"
"4","1237093760","2016-03-27","2016-03-27 MC日报","/daily/show/1237093760?kf=daily_list","","①2007年BJN综述：酸奶的益生菌，抑制小鼠肿瘤②推荐综述：肠道菌群的全身性影响，IF不高，但很全"
"5","1232899456","2016-03-26","2016-03-26 MC日报","/daily/show/1232899456?kf=daily_list","","①Science：重磅抗癌药，菌群助药效！②Gut经典肠道菌群综述，很全很透，不仅临床医生必读"
"6","1237093632","2016-03-24","2016-03-24 MC日报","/daily/show/1237093632?kf=daily_list","","①张和平团队：肠道菌群为预测痛风提供可靠参考②怀孕过程中肠道菌群的重塑和代谢变化"
"7","1232899328","2016-03-23","2016-03-23 MC日报","/daily/show/1232899328?kf=daily_list","","①酸奶，抗癌？②2000年，人们就关注益生元益生菌的抗癌作用"
"8","1237085608","2016-03-22","2016-03-22 MC日报","/daily/show/1237085608?kf=daily_list","","①ISME：1-4岁儿童肠道菌群，长啥样？有啥特点？②Nature子刊：通过微生物抑制Atg7，抗癌"
"9","1232891304","2016-03-21","2016-03-21 MC日报","/daily/show/1232891304?kf=daily_list","","①唾液微生物初步分析及其在口腔扁平藓中的潜在作用②溪流生物膜的生态学与地球生物化学"
"10","1237085480","2016-03-20","2016-03-20 MC日报","/daily/show/1237085480?kf=daily_list","","①PNAS：肠道菌群帮你防流感？（2011年论文）②Science子刊：癌症与肠道菌群，可能超你想象"
"11","1232891176","2016-03-19","2016-03-19 MC日报","/daily/show/1232891176?kf=daily_list","","①Cell子刊：酒香也怕巷子深，好研究的插画要画好！②开发新型抗生素，公司们请积极点！"
"12","1237085600","2016-03-18","2016-03-18 MC日报","/daily/show/1237085600?kf=daily_list","","①肠道菌群代谢红肉中营养物L-肉毒碱可促进动脉粥样硬化②对冠状动脉疾病患者的肠道微生物分析：肠道微生"
"13","1232891296","2016-03-17","2016-03-17 MC日报","/daily/show/1232891296?kf=daily_list","","①肠道内IL-17受体信号介导对肠道微生物及自身免疫性炎症的调控②蛋白质甲酰化连接了炎症、吸烟、尿毒"
"14","1237085472","2016-03-16","2016-03-16 MC日报","/daily/show/1237085472?kf=daily_list","","①共生细菌对肠道病毒感染的影响②从冷冻电子断层成像技术看原核细胞生物学的新视角!!!"
"15","1232891168","2016-03-14","2016-03-14 MC日报","/daily/show/1232891168?kf=daily_list","","①CTLA-4免疫抑制剂的抗癌作用有赖于肠道菌群②膳食抗原通过诱导小肠内的调节性T细胞而限制粘膜免疫"
"16","1237085576","2016-03-13","2016-03-13 MC日报","/daily/show/1237085576?kf=daily_list","","①肠道菌群: 药物靶向的未来之星②靶向人基因组/微生物组的药物发现: 来自全球化系统生物学与传统中药"
"17","1232891272","2016-03-11","2016-03-11 MC日报","/daily/show/1232891272?kf=daily_list","","①人类微生物研究与公共卫生：社会、伦理视角的考虑②与人体有关的微生物群落的信号传导"
